geo_code,nigeria_born,total_occ,prof_occ,caring_occ,year,brain_waste_ratio
E07000061,50.0,36713.0,403.0,2476.0,2001,0.8600208405696422
E07000086,40.0,60532.0,382.0,2786.0,2001,0.8794191919191919
E07000207,95.0,58786.0,630.0,2122.0,2001,0.7710755813953488
E07000208,64.0,33199.0,365.0,1545.0,2001,0.8089005235602095
E07000087,24.0,54358.0,378.0,2421.0,2001,0.864951768488746
E07000112,28.0,41815.0,244.0,3007.0,2001,0.9249461704091049
E07000088,25.0,37295.0,162.0,2247.0,2001,0.9327521793275217
E07000109,73.0,43960.0,210.0,2254.0,2001,0.9147727272727273
E07000209,112.0,67097.0,717.0,2503.0,2001,0.7773291925465838
E07000089,24.0,45499.0,311.0,1733.0,2001,0.8478473581213307
E07000062,32.0,35498.0,261.0,2727.0,2001,0.9126506024096386
E07000090,18.0,53011.0,290.0,2896.0,2001,0.9089767733835531
E07000227,58.0,61172.0,486.0,2675.0,2001,0.8462511863334388
E06000046,26.0,54483.0,459.0,4037.0,2001,0.8979092526690391
E07000063,29.0,41137.0,346.0,2390.0,2001,0.8735380116959064
E07000110,42.0,69471.0,572.0,3158.0,2001,0.8466487935656837
E06000035,150.0,119260.0,532.0,6241.0,2001,0.9214528274029233
E07000228,67.0,64744.0,538.0,3241.0,2001,0.8576342947869807
E06000042,305.0,108075.0,564.0,3997.0,2001,0.8763429072571804
E07000210,55.0,39164.0,367.0,1676.0,2001,0.820362212432697
E07000091,39.0,77054.0,688.0,4321.0,2001,0.8626472349770413
E07000178,229.0,60093.0,1265.0,2626.0,2001,0.6748907735800566
E06000044,101.0,87019.0,587.0,4622.0,2001,0.887310424265694
E06000038,159.0,73600.0,448.0,2768.0,2001,0.8606965174129353
E07000211,166.0,64184.0,586.0,2951.0,2001,0.8343228724908114
E07000064,21.0,33380.0,344.0,2170.0,2001,0.8631662688941926
E07000212,50.0,39037.0,251.0,1635.0,2001,0.866914103923648
E07000092,43.0,49923.0,154.0,2236.0,2001,0.9355648535564853
E07000111,42.0,52029.0,436.0,2366.0,2001,0.8443968593861527
E06000039,155.0,58399.0,312.0,2244.0,2001,0.8779342723004695
E07000006,20.0,30135.0,399.0,1047.0,2001,0.7240663900414938
E07000179,75.0,66738.0,668.0,2883.0,2001,0.8118839763446917
E06000045,181.0,98210.0,878.0,4993.0,2001,0.8504513711463124
E07000213,66.0,46924.0,215.0,1668.0,2001,0.8858204992033988
E07000214,43.0,42608.0,404.0,1536.0,2001,0.7917525773195876
E07000113,36.0,55712.0,233.0,3013.0,2001,0.9282193468884782
E07000215,41.0,39166.0,315.0,2085.0,2001,0.86875
E07000093,34.0,57137.0,518.0,2448.0,2001,0.825354012137559
E07000114,46.0,49197.0,356.0,4124.0,2001,0.9205357142857142
E07000115,22.0,53038.0,328.0,2521.0,2001,0.8848718848718848
E07000116,43.0,50864.0,564.0,2476.0,2001,0.8144736842105263
E07000180,40.0,59832.0,462.0,2531.0,2001,0.8456398262612763
E07000216,63.0,56396.0,547.0,2494.0,2001,0.8201249588951003
E07000065,63.0,64514.0,569.0,3607.0,2001,0.8637452107279694
E06000037,59.0,77568.0,438.0,3349.0,2001,0.8843411671507789
E07000181,36.0,50469.0,369.0,2445.0,2001,0.8688699360341151
E07000094,48.0,53306.0,921.0,2312.0,2001,0.7151252706464584
E06000040,93.0,68149.0,561.0,2309.0,2001,0.8045296167247387
E07000217,80.0,46258.0,323.0,1931.0,2001,0.8566992014196984
E06000041,91.0,81279.0,594.0,2900.0,2001,0.8299942759015455
E07000229,44.0,44180.0,335.0,2853.0,2001,0.894918444165621
E07000007,94.0,81954.0,601.0,3383.0,2001,0.8491465863453815
E06000022,60.0,80257.0,959.0,3552.0,2001,0.7874085568610064
E06000028,85.0,72395.0,514.0,3881.0,2001,0.8830489192263936
E06000023,324.0,177057.0,2361.0,8063.0,2001,0.7735034535686877
E07000078,50.0,53099.0,545.0,2265.0,2001,0.806049822064057
E07000048,23.0,18143.0,119.0,1043.0,2001,0.8975903614457831
E06000052,88.0,212989.0,1727.0,12874.0,2001,0.8817204301075269
E07000079,24.0,39280.0,345.0,1833.0,2001,0.8415977961432507
E07000040,31.0,52509.0,429.0,3519.0,2001,0.8913373860182371
E07000049,22.0,37060.0,303.0,1928.0,2001,0.8641864634692963
E07000041,40.0,51634.0,543.0,2833.0,2001,0.8391587677725119
E07000080,5.0,37549.0,193.0,2088.0,2001,0.9153879877246821
E07000081,26.0,52525.0,243.0,2889.0,2001,0.9224137931034483
E06000053,0.0,1270.0,9.0,51.0,2001,0.85
E07000187,35.0,48881.0,312.0,2787.0,2001,0.8993223620522749
E07000042,20.0,32847.0,257.0,1953.0,2001,0.883710407239819
E07000043,25.0,39316.0,382.0,2310.0,2001,0.8580980683506686
E07000050,12.0,28730.0,166.0,1474.0,2001,0.8987804878048781
E06000024,32.0,88733.0,606.0,4919.0,2001,0.890316742081448
E06000026,64.0,106295.0,654.0,6104.0,2001,0.9032258064516129
E06000029,40.0,64217.0,646.0,3365.0,2001,0.8389429070057343
E07000051,9.0,20333.0,102.0,1158.0,2001,0.919047619047619
E07000188,12.0,48146.0,313.0,2980.0,2001,0.9049498937139386
E06000025,58.0,127755.0,683.0,5545.0,2001,0.8903339755940912
E07000044,23.0,37003.0,508.0,1887.0,2001,0.7878914405010439
E07000189,34.0,71240.0,476.0,4132.0,2001,0.8967013888888888
E07000082,27.0,52389.0,489.0,2782.0,2001,0.8505044328951391
E06000030,56.0,93953.0,364.0,3445.0,2001,0.9044368600682594
E07000190,35.0,48052.0,601.0,3423.0,2001,0.8506461232604374
E07000045,31.0,53228.0,579.0,3362.0,2001,0.8530829738645014
E07000083,12.0,38103.0,249.0,1607.0,2001,0.8658405172413793
E06000027,18.0,53543.0,405.0,3552.0,2001,0.8976497346474602
E07000046,7.0,25522.0,129.0,1772.0,2001,0.932140978432404
E07000047,15.0,22208.0,331.0,1277.0,2001,0.7941542288557214
E07000052,22.0,39912.0,460.0,2398.0,2001,0.8390482855143457
E07000191,6.0,14393.0,109.0,1129.0,2001,0.9119547657512116
E07000053,9.0,28263.0,144.0,1786.0,2001,0.9253886010362694
E06000054,87.0,217278.0,1519.0,10492.0,2001,0.873532595121139
