"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
1888,"CA","CA1888001","CAN","Canada","Recruitment of British children",1,3,2,14,4,5,"UK",-1,"Canada","CAN",1888,"CA1888001"
1888,"NZ","NZ1888001","NZL","New Zealand","chinese immigration further restricted",0,1,2,11,2,5,"China",1,"New Zealand","NZL",1888,"NZ1888001"
1888,"FR","FR1888001","FRA","France","register requirement for foreigners",0,4,1,1,2,2,"Non applicable",1,"France","FRA",1888,"FR1888001"
1888,"US","US1888001","USA","United States","chinese entry ban extended to lawful residents",0,1,2,13,2,5,"China",1,"United States","USA",1888,"US1888001"
1888,"NO","NO1888001","NOR","Norway","first citizenship law based on descent",0,4,3,21,1,1,"Non applicable",-1,"Norway","NOR",1888,"NO1888001"
1888,"NO","NO1888002","NOR","Norway","naturalisation after three years",0,4,3,21,2,2,"Non applicable",-1,"Norway","NOR",1888,"NO1888002"
1889,"ES","ES1889001","ESP","Spain","ius sanguinis introduced",0,4,3,21,1,1,"Non applicable",-1,"Spain","ESP",1889,"ES1889001"
1889,"ES","ES1889002","ESP","Spain","emigrants and descendants required to register if wishing to keep spanish nationality",0,4,1,1,13,4,"Non applicable",1,"Spain","ESP",1889,"ES1889002"
1889,"ES","ES1889003","ESP","Spain","practically no requirements introduced for naturalisation",0,4,3,21,2,2,"Non applicable",-1,"Spain","ESP",1889,"ES1889003"
1889,"FR","FR1889001","FRA","France","ius soli introduced for children born in France from foreign parents",0,4,3,21,1,2,"Non applicable",-1,"France","FRA",1889,"FR1889001"
1889,"FR","FR1889002","FRA","France","naturalisation eased for family migrants",0,2,3,21,6,2,"Non applicable",-1,"France","FRA",1889,"FR1889002"
1890,"BR","BR1890001","BRA","Brazil","recruitment efforts and benefits for Europeans laid down",0,3,2,14,2,5,"Europe",-1,"Brazil","BRA",1890,"BR1890001"
1890,"BR","BR1890002","BRA","Brazil","Asians and Africans barred from entry",0,3,2,13,2,5,"Asia, Africa",1,"Brazil","BRA",1890,"BR1890002"
1890,"BR","BR1890003","BRA","Brazil","specific categories barred from entry",0,3,2,13,14,2,"Non applicable",1,"Brazil","BRA",1890,"BR1890003"
1890,"BR","BR1890004","BRA","Brazil","sanctions for carriers of african or asian migrants",0,3,1,4,2,5,"Asia, Africa",1,"Brazil","BRA",1890,"BR1890004"
1890,"CL","CL1890001","CHL","Chile","end of facilitated passage for european settlers",0,3,2,14,3,5,"Europe",1,"Chile","CHL",1890,"CL1890001"
1891,"US","US1891001","USA","United States","Institution for Immigration created",0,4,2,26,2,2,"Non applicable",9,"United States","USA",1891,"US1891001"
1891,"US","US1891002","USA","United States","Restriction of immigration",0,4,2,13,2,2,"Non applicable",1,"United States","USA",1891,"US1891002"
1891,"US","US1891003","USA","United States","Carriers to return irregular migrants",0,3,1,4,11,2,"Non applicable",1,"United States","USA",1891,"US1891003"
1891,"AR","AR1891001","ARG","Argentina","assisted migration from Europe ends",0,3,2,14,2,5,"Europe",1,"Argentina","ARG",1891,"AR1891001"
1891,"BR","BR1891001","BRA","Brazil","ius soli as main citizenship rule",0,4,3,21,1,1,"Non applicable",-1,"Brazil","BRA",1891,"BR1891001"
1891,"BR","BR1891002","BRA","Brazil","automatic naturalisation of all foreigners",0,4,3,21,2,2,"Non applicable",-1,"Brazil","BRA",1891,"BR1891002"
1891,"BR","BR1891003","BRA","Brazil","citizenship for property owners",0,4,3,21,10,2,"Non applicable",-1,"Brazil","BRA",1891,"BR1891003"
1891,"BR","BR1891004","BRA","Brazil","citizenship for skilled workers",0,3,3,21,5,2,"Non applicable",-1,"Brazil","BRA",1891,"BR1891004"
1891,"BR","BR1891005","BRA","Brazil","citizenship for family members",0,4,3,21,6,2,"Non applicable",-1,"Brazil","BRA",1891,"BR1891005"
1892,"CA","CA1892001","CAN","Canada","MOI responsible for immigration",0,4,2,26,2,2,"Non applicable",9,"Canada","CAN",1892,"CA1892001"
1892,"NL","NL1892001","NLD","Netherlands","Dutch citizenship rules of ius sanguinis",0,4,3,21,1,1,"Non applicable",-1,"Netherlands","NLD",1892,"NL1892001"
1892,"NL","NL1892002","NLD","Netherlands","automatic naturalisation through marriage",0,3,3,21,6,1,"Non applicable",-1,"Netherlands","NLD",1892,"NL1892002"
1892,"US","US1892001","USA","United States","Immigration centers opened",0,4,1,1,2,2,"Non applicable",1,"United States","USA",1892,"US1892001"
1892,"US","US1892002","USA","United States","prolongation of chinese entry ban",0,1,2,13,2,5,"China",1,"United States","USA",1892,"US1892002"
1893,"GR","GR1893001","GRC","Greece","first emigration wave",999,999,4,28,2,4,"Non applicable",999,"Greece","GRC",1893,"GR1893001"
1893,"BR","BR1893001","BRA","Brazil","entry ban for specific categories widened",0,1,2,13,14,2,"Non applicable",1,"Brazil","BRA",1893,"BR1893001"
1894,"SE","SE1894001","SWE","Sweden","ius sanguinis principle laid down",0,4,3,21,1,1,"Non applicable",-1,"Sweden","SWE",1894,"SE1894001"
1894,"US","US1894001","USA","United States","agreement grants japanese migrants equal rights",1,3,2,9,2,5,"Japan",-1,"United States","USA",1894,"US1894001"
1895,"CL","CL1895001","CHL","Chile","recruitment authorisation granted",0,3,2,14,3,5,"Europe",-1,"Chile","CHL",1895,"CL1895001"
1896,"NZ","NZ1896001","NZL","New Zealand","chinese immigration further restricted",0,1,2,11,2,5,"China",1,"New Zealand","NZL",1896,"NZ1896001"
1897,"CA","CA1897001","CAN","Canada","Prohibiting entry of non-agriculturalist workers",0,3,2,13,4,2,"Non applicable",1,"Canada","CAN",1897,"CA1897001"
1898,"IS","IS1898001","ISL","Iceland","ius sanguinis enshrined as major principle",0,4,3,21,1,1,"Non applicable",-1,"Iceland","ISL",1898,"IS1898001"
1898,"IS","IS1898002","ISL","Iceland","spouses and children granted citizenship",0,4,3,21,6,2,"Non applicable",-1,"Iceland","ISL",1898,"IS1898002"
1898,"IS","IS1898003","ISL","Iceland","naturalisation by statute only",0,4,3,21,2,2,"Non applicable",-1,"Iceland","ISL",1898,"IS1898003"
1899,"NZ","NZ1899001","NZL","New Zealand","entry ban for specific categories",0,1,2,13,14,2,"Non applicable",1,"New Zealand","NZL",1899,"NZ1899001"
1899,"NZ","NZ1899002","NZL","New Zealand","language requirements for entry",0,3,2,13,2,2,"non-British",1,"New Zealand","NZL",1899,"NZ1899002"
1899,"FR","FR1899001","FRA","France","quota for working and supply industry",0,3,2,11,3,2,"Non applicable",1,"France","FRA",1899,"FR1899001"
1899,"JP","JP1899001","JPN","Japan","work permit introduced for foreigners",0,4,2,8,3,2,"Non applicable",1,"Japan","JPN",1899,"JP1899001"
1899,"MX","MX1899001","MEX","Mexico","recruitment agreement with China",1,3,2,14,4,5,"China",-1,"Mexico","MEX",1899,"MX1899001"
1900,"CA","CA1900001","CAN","Canada","mass influx of immigrants",999,999,2,28,2,2,"Non applicable",999,"Canada","CAN",1900,"CA1900001"
1900,"SE","SE1900001","SWE","Sweden","Sweden as emigration country",999,999,4,28,2,4,"Non applicable",999,"Sweden","SWE",1900,"SE1900001"
1900,"IE","IE1900001","IRL","Ireland","Ireland as country of emigration",999,999,4,28,2,4,"Non applicable",999,"Ireland","IRL",1900,"IE1900001"
1900,"FI","FI1900001","FIN","Finland","emigration wave",999,999,4,28,2,4,"Non applicable",999,"Finland","FIN",1900,"FI1900001"
1900,"ZA","ZA1900001","ZAF","South Africa","establishment of recruitment organisation",0,3,2,14,4,2,"Non applicable",-1,"South Africa","ZAF",1900,"ZA1900001"
1901,"AT","AT1901001","AUT","Austria","residency rights after 10 years",0,4,3,20,2,1,"Non applicable",-1,"Austria","AUT",1901,"AT1901001"
1901,"AU","AU1901001","AUS","Australia","Federation lead to federal responsibility for migration",0,4,2,26,2,2,"Non applicable",9,"Australia","AUS",1901,"AU1901001"
1901,"AU","AU1901002","AUS","Australia","mass deportation of pacific islanders from 1906 on",999,999,4,24,2,5,"Pacific Islanders",999,"Australia","AUS",1901,"AU1901002"
