"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
2002,"NZ","NZ2002003","NZL","New Zealand","immigration hot election topic",999,999,2,28,2,2,"Non applicable",999,"New Zealand","NZL",2002,"NZ2002003"
2002,"NZ","NZ2002004","NZL","New Zealand","Expatriate Association created",0,4,3,26,13,4,"Non applicable",-1,"New Zealand","NZL",2002,"NZ2002004"
2002,"NZ","NZ2002005","NZL","New Zealand","tighter requirements for skilled applicants",0,1,2,10,5,2,"Non applicable",1,"New Zealand","NZL",2002,"NZ2002005"
2002,"NZ","NZ2002006","NZL","New Zealand","tighter requirements for investors and entrepreneurs",0,2,2,10,10,2,"Non applicable",1,"New Zealand","NZL",2002,"NZ2002006"
2002,"NZ","NZ2002007","NZL","New Zealand","sanction for people smuggling introduced",0,3,1,6,11,2,"Non applicable",1,"New Zealand","NZL",2002,"NZ2002007"
2002,"IT","IT2002001","ITA","Italy","stricter criteria for allowing entry of foreign workers",0,4,2,8,3,2,"Non applicable",1,"Italy","ITA",2002,"IT2002001"
2002,"IT","IT2002002","ITA","Italy","job search after unemployment reduced",0,2,3,8,3,2,"Non applicable",1,"Italy","ITA",2002,"IT2002002"
2002,"IT","IT2002003","ITA","Italy","increased border control at sea",0,2,1,1,11,2,"Non applicable",1,"Italy","ITA",2002,"IT2002003"
2002,"IT","IT2002004","ITA","Italy","family reunification restricted",0,4,2,9,6,2,"Non applicable",1,"Italy","ITA",2002,"IT2002004"
2002,"IT","IT2002005","ITA","Italy","more surveillance on migrants through fingerprinting",0,4,1,1,2,2,"Non applicable",1,"Italy","ITA",2002,"IT2002005"
2002,"IT","IT2002006","ITA","Italy","access to permanent residency stricter",0,2,3,20,2,2,"Non applicable",1,"Italy","ITA",2002,"IT2002006"
2002,"IT","IT2002007","ITA","Italy","no refund of social security payments for returnees anymore",0,3,3,18,3,2,"Non applicable",1,"Italy","ITA",2002,"IT2002007"
2002,"IT","IT2002008","ITA","Italy","higher employer sanctions",0,1,1,5,11,2,"Non applicable",1,"Italy","ITA",2002,"IT2002008"
2002,"IT","IT2002009","ITA","Italy","decentralized asylum determination procedure (implemented in 2005)",999,999,1,26,12,2,"Non applicable",999,"Italy","ITA",2002,"IT2002009"
2002,"IT","IT2002010","ITA","Italy","increased sanctions for re-entry of detected irregular migrants",0,1,2,13,11,2,"Non applicable",1,"Italy","ITA",2002,"IT2002010"
2002,"IT","IT2002011","ITA","Italy","return programme formalized",0,4,4,22,2,2,"Non applicable",-1,"Italy","ITA",2002,"IT2002011"
2002,"IT","IT2002012","ITA","Italy","Regularisation of irregular workers",0,3,2,12,11,2,"Non applicable",-1,"Italy","ITA",2002,"IT2002012"
2002,"IT","IT2002013","ITA","Italy","2002 quota lower, more for seasonal work",0,2,2,11,3,2,"Non applicable",1,"Italy","ITA",2002,"IT2002013"
2002,"ES","ES2002001","ESP","Spain","new, more flexible quota system",0,4,2,11,3,2,"Non applicable",-1,"Spain","ESP",2002,"ES2002001"
2002,"ES","ES2002002","ESP","Spain","Labour agreement with Romania and Poland",1,3,2,8,3,5,"Romania and Poland",-1,"Spain","ESP",2002,"ES2002002"
2002,"ES","ES2002003","ESP","Spain","Readmission agreement with Romania and Poland",1,3,4,22,3,5,"Romania and Poland",1,"Spain","ESP",2002,"ES2002003"
2002,"DE","DE2002001","DEU","Germany","police gets more control powers to question people in streats, anti terrorism measure",0,4,1,1,1,1,"Non applicable",1,"Germany","DEU",2002,"DE2002001"
2002,"NL","NL2002001","NLD","Netherlands","minister for integration and immigration created",0,4,2,26,2,2,"Non applicable",9,"Netherlands","NLD",2002,"NL2002001"
2002,"FR","FR2002001","FRA","France","Visa exemption for Romanians",999,999,2,7,1,5,"Romania",999,"France","FRA",2002,"FR2002001"
2002,"GR","GR2002001","GRC","Greece","Regularisation of irregular migrants",0,4,2,12,11,2,"Non applicable",-1,"Greece","GRC",2002,"GR2002001"
2002,"GR","GR2002002","GRC","Greece","Social integration plan for migrants",999,999,3,27,2,2,"Non applicable",999,"Greece","GRC",2002,"GR2002002"
2002,"GR","GR2002003","GRC","Greece","new institute to study migration and foster integration",0,2,3,26,2,2,"Non applicable",-1,"Greece","GRC",2002,"GR2002003"
2002,"GR","GR2002004","GRC","Greece","Readmission agreement with Turkey",1,3,4,23,11,2,"Those transiting through or originating from Turkey",1,"Greece","GRC",2002,"GR2002004"
2002,"GR","GR2002005","GRC","Greece","work and residence permits only with job offer",0,2,2,8,3,2,"Non applicable",1,"Greece","GRC",2002,"GR2002005"
2002,"GR","GR2002006","GRC","Greece","reception centers created",0,4,1,26,12,2,"Non applicable",9,"Greece","GRC",2002,"GR2002006"
2002,"IE","IE2002001","IRL","Ireland","ICT transfer scheme suspended",0,3,2,8,5,2,"Non applicable",1,"Ireland","IRL",2002,"IE2002001"
2002,"IE","IE2002002","IRL","Ireland","work permit system made stricter",0,4,2,8,3,2,"Non applicable",1,"Ireland","IRL",2002,"IE2002002"
2002,"IE","IE2002003","IRL","Ireland","First policy document on Irish diaspora",999,999,3,27,13,4,"Non applicable",999,"Ireland","IRL",2002,"IE2002003"
2002,"CH","CH2002001","CHE","Switzerland","Trainee agreement with Philippines",1,3,2,8,5,5,"Philippines",-1,"Switzerland","CHE",2002,"CH2002001"
2002,"CH","CH2002002","CHE","Switzerland","2002 draft legislation on foreigners (start of 2006/2008 law)",999,999,2,28,2,2,"Non applicable",999,"Switzerland","CHE",2002,"CH2002002"
2002,"CH","CH2002003","CHE","Switzerland","restrictive revision of asylum law rejected",999,999,2,9,12,2,"Those entering CH through a safe country",999,"Switzerland","CHE",2002,"CH2002003"
2002,"CH","CH2002004","CHE","Switzerland","EU-CH agreement on free movement of persons  implemented but with transitional restrictions until 2007",0,1,2,11,3,3,"EU15",-1,"Switzerland","CHE",2002,"CH2002004"
2002,"US","US2002001","USA","United States","Entry Exit system for immigration control created",0,3,1,1,1,5,"25 countries associated with an Al Qaeda presence",1,"United States","USA",2002,"US2002001"
2002,"US","US2002002","USA","United States","Citizens of countries defined as sponsors of terrorism are prohibited entry",0,3,2,13,1,5,"Countries designated to be a state sponsor of international terrorism",1,"United States","USA",2002,"US2002002"
2002,"US","US2002003","USA","United States","Creation of the Department of Homeland Security",0,4,2,26,2,2,"Non applicable",9,"United States","USA",2002,"US2002003"
2002,"US","US2002004","USA","United States","Eased requirements for intercompany transfers",0,1,2,8,5,2,"Non applicable",-1,"United States","USA",2002,"US2002004"
2002,"US","US2002005","USA","United States","Work authorisation extended to spouses of ICT and investors",0,3,3,8,7,2,"Non applicable",-1,"United States","USA",2002,"US2002005"
2002,"NO","NO2002001","NOR","Norway","job search visa for high skilled",0,3,2,8,5,2,"Non applicable",-1,"Norway","NOR",2002,"NO2002001"
2002,"NO","NO2002002","NOR","Norway","eased access to work permit",0,2,2,8,3,2,"Non applicable",-1,"Norway","NOR",2002,"NO2002002"
2002,"NO","NO2002003","NOR","Norway","return programmes of IOM start",0,4,4,22,11,2,"Non applicable",1,"Norway","NOR",2002,"NO2002003"
2002,"NO","NO2002004","NOR","Norway","fee for citizenship",0,2,3,21,2,2,"Non applicable",1,"Norway","NOR",2002,"NO2002004"
2002,"FI","FI2002001","FIN","Finland","MoU signed with NZ and AUS on trainee agreement",1,3,2,8,4,5,"Australia, New Zealand",-1,"Finland","FIN",2002,"FI2002001"
2002,"FI","FI2002002","FIN","Finland","asylum seekers can work after 3 months",0,4,3,8,12,2,"Non applicable",-1,"Finland","FIN",2002,"FI2002002"
2002,"DK","DK2002001","DNK","Denmark","initiation programme for new migrants mandatory",0,2,3,17,2,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002001"
2002,"DK","DK2002002","DNK","Denmark","language exam for naturalisation introduced",0,4,3,21,2,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002002"
2002,"DK","DK2002003","DNK","Denmark","stricter rules of conduct for naturalisation",0,1,3,21,14,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002003"
2002,"DK","DK2002004","DNK","Denmark","assisted return for afghan asylum seekers",0,3,4,22,12,5,"Afghanistan",-1,"Denmark","DNK",2002,"DK2002004"
2002,"DK","DK2002005","DNK","Denmark","stricter requirements for granting protection status",0,2,2,9,12,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002005"
2002,"DK","DK2002006","DNK","Denmark","shorter period to leave the country for rejected asylum seekers",0,1,4,24,12,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002006"
2002,"DK","DK2002007","DNK","Denmark","detention of asylum seekers broadened",0,2,1,3,12,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002007"
2002,"DK","DK2002008","DNK","Denmark","stricter requirements for permanent residency for refugees",0,1,3,20,12,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002008"
2002,"DK","DK2002009","DNK","Denmark","attachment requirement introduced",0,2,2,9,6,2,"Non applicable",1,"Denmark","DNK",2002,"DK2002009"
2002,"DK","DK2002010","DNK","Denmark","job card scheme - positive list introduced",0,3,2,8,5,2,"Non applicable",-1,"Denmark","DNK",2002,"DK2002010"
2002,"LU","LU2002001","LUX","Luxembourg","shorter residency requirement for citizenship",0,2,3,21,2,2,"Non applicable",-1,"Luxembourg","LUX",2002,"LU2002001"
2002,"LU","LU2002002","LUX","Luxembourg","language requirement introduced for naturalisation",0,2,3,21,2,2,"Non applicable",1,"Luxembourg","LUX",2002,"LU2002002"
2002,"LU","LU2002003","LUX","Luxembourg","social benefits for asylum seekers",0,4,3,18,12,2,"Non applicable",-1,"Luxembourg","LUX",2002,"LU2002003"
2002,"IL","IL2002001","ISR","Israel","temporary protection to people from Ivory Coast",0,3,3,8,12,5,"Ivory Coast",-1,"Israel","ISR",2002,"IL2002001"
2002,"IL","IL2002002","ISR","Israel","Report recommends expulsion of irregular workers",999,999,4,27,11,2,"Non applicable",999,"Israel","ISR",2002,"IL2002002"
2002,"IL","IL2002003","ISR","Israel","refugee determination body created to take over from UNHCR",0,4,2,26,12,2,"Non applicable",-1,"Israel","ISR",2002,"IL2002003"
2002,"IL","IL2002004","ISR","Israel","no differentiation anymore in the direct absorption basket",0,1,3,17,13,2,"Non applicable",1,"Israel","ISR",2002,"IL2002004"
2002,"IL","IL2002005","ISR","Israel","policy to reduce new migrant workers and fill jobs with those already in the country",0,2,2,8,3,2,"Non applicable",1,"Israel","ISR",2002,"IL2002005"
2002,"IL","IL2002006","ISR","Israel","expulsion of irregular workers by new police unit",0,3,4,24,11,2,"Non applicable",1,"Israel","ISR",2002,"IL2002006"
2002,"JP","JP2002001","JPN","Japan","assistance for refugees enlarged to convention refugees",0,3,3,17,12,2,"Non applicable",-1,"Japan","JPN",2002,"JP2002001"
2002,"JP","JP2002002","JPN","Japan","integration of legal foreigners in health  system",0,4,3,18,2,2,"Non applicable",-1,"Japan","JPN",2002,"JP2002002"
2002,"JP","JP2002003","JPN","Japan","committee to draft new asylum law",0,2,2,26,12,2,"Non applicable",9,"Japan","JPN",2002,"JP2002003"
2002,"MA","MA2002001","MAR","Morocco","re-creation of ministry for moroccans abroad",0,2,3,26,13,4,"Non applicable",-1,"Morocco","MAR",2002,"MA2002001"
2002,"PL","PL2002001","POL","Poland","seasonal labour agreement with Spain",1,3,4,14,4,4,"Non applicable",-1,"Poland","POL",2002,"PL2002001"
2002,"HU","HU2002001","HUN","Hungary","right to vote in local elections for permanent residents and refugees",0,4,3,19,2,2,"Non applicable",-1,"Hungary","HUN",2002,"HU2002001"
2002,"SI","SI2002001","SVN","Slovenia","migration policy strategy",999,999,2,27,2,2,"Non applicable",999,"Slovenia","SVN",2002,"SI2002001"
2002,"SI","SI2002002","SVN","Slovenia","permanent residency granted to temporary refugees",0,3,3,20,12,2,"Non applicable",-1,"Slovenia","SVN",2002,"SI2002002"
2002,"SI","SI2002003","SVN","Slovenia","strategy on slovene minorities in neighbouring countries",999,999,3,27,13,1,"Non applicable",999,"Slovenia","SVN",2002,"SI2002003"
2002,"SI","SI2002004","SVN","Slovenia","facilitated naturalisation for refugees",0,1,3,21,12,2,"Non applicable",-1,"Slovenia","SVN",2002,"SI2002004"
2002,"SI","SI2002005","SVN","Slovenia","facilitated naturalisation for foreigners born and raised in Slovenia",0,3,3,21,2,2,"Non applicable",-1,"Slovenia","SVN",2002,"SI2002005"
2002,"SI","SI2002006","SVN","Slovenia","naturalisation of previously permanent residents facilitated",0,1,3,21,1,5,"Former Yugoslavian countries",-1,"Slovenia","SVN",2002,"SI2002006"
2002,"CZ","CZ2002001","CZE","Czechia","detainees seeking asylum have to stay in detention",0,4,1,3,12,2,"Non applicable",1,"Czechia","CZE",2002,"CZ2002001"
2002,"CZ","CZ2002002","CZE","Czechia","asylum seekers can work only after one year",0,4,3,8,12,2,"Non applicable",1,"Czechia","CZE",2002,"CZ2002002"
2002,"CZ","CZ2002003","CZE","Czechia","only three months subsidies for asylum seekers",0,2,3,18,12,2,"Non applicable",1,"Czechia","CZE",2002,"CZ2002003"
2002,"SK","SK2002001","SVK","Slovakia","asylum grounds widened",0,2,2,9,12,2,"Non applicable",-1,"Slovakia","SVK",2002,"SK2002001"
2002,"SK","SK2002002","SVK","Slovakia","family reunification of refugees widened",0,1,2,9,8,2,"Non applicable",-1,"Slovakia","SVK",2002,"SK2002002"
2002,"SK","SK2002003","SVK","Slovakia","safe country rules introduced",0,3,2,9,12,2,"Those transiting through or originating from a safe country",1,"Slovakia","SVK",2002,"SK2002003"
2002,"SK","SK2002004","SVK","Slovakia","appeal courts introduced in asylum procedure",0,4,2,19,12,2,"Non applicable",-1,"Slovakia","SVK",2002,"SK2002004"
2002,"SK","SK2002005","SVK","Slovakia","temporary residency widened",0,2,2,9,2,2,"Non applicable",-1,"Slovakia","SVK",2002,"SK2002005"
2002,"SK","SK2002006","SVK","Slovakia","permanent residency widened",0,4,3,20,2,2,"Non applicable",-1,"Slovakia","SVK",2002,"SK2002006"
2002,"SK","SK2002007","SVK","Slovakia","tolerated residency introduced for certain asylum seekers",0,3,2,9,12,2,"Non applicable",-1,"Slovakia","SVK",2002,"SK2002007"
2002,"SK","SK2002008","SVK","Slovakia","detention and expulsion mechanisms introduced",0,4,4,24,2,2,"Non applicable",1,"Slovakia","SVK",2002,"SK2002008"
2002,"SK","SK2002009","SVK","Slovakia","sanctions introduced for transportation of irregular migrants",0,3,1,6,11,2,"Non applicable",1,"Slovakia","SVK",2002,"SK2002009"
2002,"SK","SK2002010","SVK","Slovakia","new unit to combat irregular migration",0,2,1,26,11,2,"Non applicable",1,"Slovakia","SVK",2002,"SK2002010"
2002,"SK","SK2002011","SVK","Slovakia","readmission agreement with Benelux countries",1,3,4,23,11,2,"Those transiting through or originating from the Benelux countries",1,"Slovakia","SVK",2002,"SK2002011"
2002,"KR","KR2002001","KOR","South Korea","changes in the selection system of trainees",0,3,2,14,4,2,"Non applicable",1,"South Korea","KOR",2002,"KR2002001"
2002,"KR","KR2002002","KOR","South Korea","changes in the status change of trainees to regular workers",0,1,3,8,4,2,"Non applicable",-1,"South Korea","KOR",2002,"KR2002002"
2002,"KR","KR2002003","KOR","South Korea","more control over trainee worker rights",0,1,1,5,4,2,"Non applicable",1,"South Korea","KOR",2002,"KR2002003"
2002,"KR","KR2002004","KOR","South Korea","debate about entry of low-skilled workers",999,999,2,8,4,2,"Non applicable",999,"South Korea","KOR",2002,"KR2002004"
2002,"KR","KR2002005","KOR","South Korea","creation of permanent residence status",0,4,3,20,2,2,"Non applicable",-1,"South Korea","KOR",2002,"KR2002005"
2002,"KR","KR2002006","KOR","South Korea","first small scale initiative to give worker status to low skilled",0,3,2,12,11,2,"Ethnic Koreans",-1,"South Korea","KOR",2002,"KR2002006"
2002,"RU","RU2002001","RUS","Russia","labour agreement with Portugal",1,3,2,8,3,5,"Portugal",9,"Russia","RUS",2002,"RU2002001"
2002,"RU","RU2002002","RUS","Russia","permanent residency open to temporary workers",0,4,3,20,2,2,"Non applicable",-1,"Russia","RUS",2002,"RU2002002"
2002,"RU","RU2002003","RUS","Russia","more bureaucratic barriers to foreigner registration",0,2,1,1,2,2,"Non applicable",1,"Russia","RUS",2002,"RU2002003"
2002,"RU","RU2002004","RUS","Russia","temporary residence permit",0,4,2,9,2,2,"Non applicable",-1,"Russia","RUS",2002,"RU2002004"
2002,"RU","RU2002005","RUS","Russia","quota for workers from visa required countries introduced",0,3,2,11,3,5,"visa-required countries",1,"Russia","RUS",2002,"RU2002005"
2002,"RU","RU2002006","RUS","Russia","creation of employer permit",0,4,2,5,3,2,"Non applicable",1,"Russia","RUS",2002,"RU2002006"
2002,"RU","RU2002007","RUS","Russia","more border control over foreigner",0,4,1,2,1,2,"Non applicable",1,"Russia","RUS",2002,"RU2002007"
2002,"RU","RU2002008","RUS","Russia","FMS reestablished within ministry of home affairs",0,2,2,26,2,2,"Non applicable",9,"Russia","RUS",2002,"RU2002008"
2002,"RU","RU2002009","RUS","Russia","stricter naturalisation criteria",0,2,3,21,1,2,"Non applicable",1,"Russia","RUS",2002,"RU2002009"
2002,"RU","RU2002010","RUS","Russia","shorter residency for high skilled for naturalisation",0,1,3,21,5,2,"Non applicable",-1,"Russia","RUS",2002,"RU2002010"
2002,"RU","RU2002011","RUS","Russia","shorter residency for refugees for naturalisation",0,1,3,21,12,2,"Non applicable",-1,"Russia","RUS",2002,"RU2002011"
2002,"RU","RU2002012","RUS","Russia","no dual citizenship for naturalised people anymore",0,4,3,21,2,2,"Non applicable",1,"Russia","RUS",2002,"RU2002012"
2002,"AR","AR2002001","ARG","Argentina","free movement for MERCOSUR migrants",1,3,2,16,3,5,"MERCOSUR,  Chile and Bolivia",-1,"Argentina","ARG",2002,"AR2002001"
2002,"AR","AR2002002","ARG","Argentina","family reunification for MERCOSUR migrants",1,3,2,9,6,5,"MERCOSUR,  Chile and Bolivia",-1,"Argentina","ARG",2002,"AR2002002"
2002,"AR","AR2002003","ARG","Argentina","free movement for Argentinians in MERCOSUR region",1,4,4,16,3,4,"Non applicable",-1,"Argentina","ARG",2002,"AR2002003"
2002,"CN","CN2002001","CHN","China","plan to promote interaction with Chinese communities abroad",999,999,3,27,13,4,"Non applicable",999,"China","CHN",2002,"CN2002001"
2002,"MX","MX2002001","MEX","Mexico","refugee status created, replacing previous visitor status for refugees",0,4,2,9,12,2,"Non applicable",-1,"Mexico","MEX",2002,"MX2002001"
2002,"MX","MX2002002","MEX","Mexico","trends in irregular migration",999,999,1,28,11,2,"Non applicable",999,"Mexico","MEX",2002,"MX2002002"
2002,"MX","MX2002003","MEX","Mexico","Mexico issues consular cards to US diaspora to improve their access to rights",0,4,3,2,13,4,"Non applicable",-1,"Mexico","MEX",2002,"MX2002003"
2002,"ZA","ZA2002001","ZAF","South Africa","consolidation of temporary entry permits",0,2,2,9,2,2,"Non applicable",0,"South Africa","ZAF",2002,"ZA2002001"
2002,"ZA","ZA2002002","ZAF","South Africa","consolidation of general work permit",0,2,2,8,3,2,"Non applicable",0,"South Africa","ZAF",2002,"ZA2002002"
2002,"ZA","ZA2002003","ZAF","South Africa","new work permit for shortage occupations with quota",0,3,2,8,5,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002003"
2002,"ZA","ZA2002004","ZAF","South Africa","stricter conditions to hire mining workers",0,3,2,14,4,5,"Those with bilateral agreements",1,"South Africa","ZAF",2002,"ZA2002004"
2002,"ZA","ZA2002005","ZAF","South Africa","detention of irregular migrants possible without warrant",0,2,1,3,2,2,"Non applicable",0,"South Africa","ZAF",2002,"ZA2002005"
2002,"ZA","ZA2002006","ZAF","South Africa","more legal requirements for deportation",0,2,4,19,11,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002006"
2002,"ZA","ZA2002007","ZAF","South Africa","employer sanctions consolidated",0,1,1,5,11,2,"Non applicable",1,"South Africa","ZAF",2002,"ZA2002007"
2002,"ZA","ZA2002008","ZAF","South Africa","sanctions for educating, housing, helping irregular migrants etc.",0,4,1,6,11,2,"Non applicable",1,"South Africa","ZAF",2002,"ZA2002008"
2002,"ZA","ZA2002009","ZAF","South Africa","more possibilities for getting permanent residency",0,2,3,20,2,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002009"
2002,"ZA","ZA2002010","ZAF","South Africa","permanent residency for high skilled workers",0,3,3,20,5,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002010"
2002,"ZA","ZA2002011","ZAF","South Africa","permanent residency for investors",0,4,3,20,10,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002011"
2002,"ZA","ZA2002012","ZAF","South Africa","permanent residency for refugees",0,3,3,20,12,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002012"
2002,"ZA","ZA2002013","ZAF","South Africa","permanent residency for family members consolidated",0,4,3,20,6,2,"Non applicable",-1,"South Africa","ZAF",2002,"ZA2002013"
2002,"ZA","ZA2002014","ZAF","South Africa","crackdown on irregular migrants",999,999,1,1,11,2,"Non applicable",999,"South Africa","ZAF",2002,"ZA2002014"
2002,"IN","IN2002001","IND","India","fencing border with bangladesh continued",0,1,1,1,11,2,"Those originating from or transiting through Bangladesh",1,"India","IND",2002,"IN2002001"
2002,"IN","IN2002002","IND","India","Person of Indian Origin Card period of validity shortened",0,2,2,9,13,2,"Non applicable",1,"India","IND",2002,"IN2002002"
2002,"BR","BR2002001","BRA","Brazil","free movement for MERCOSUR migrants",1,3,2,16,3,5,"MERCOSUR,  Chile and Bolivia",-1,"Brazil","BRA",2002,"BR2002001"
2002,"BR","BR2002002","BRA","Brazil","family reunification for MERCOSUR migrants",1,3,2,9,6,5,"MERCOSUR,  Chile and Bolivia",-1,"Brazil","BRA",2002,"BR2002002"
2002,"BR","BR2002003","BRA","Brazil","free movement for Brazilians in MERCOSUR region",1,4,4,16,3,4,"Non applicable",-1,"Brazil","BRA",2002,"BR2002003"
2002,"BR","BR2002004","BRA","Brazil","quicker access to permanent residency",0,3,3,20,2,5,"MERCOSUR, Chile and Bolivia",-1,"Brazil","BRA",2002,"BR2002004"
2002,"BR","BR2002005","BRA","Brazil","border protection programme for amazonas enacted",0,3,1,1,1,1,"Non applicable",1,"Brazil","BRA",2002,"BR2002005"
2002,"CL","CL2002001","CHL","Chile","free movement for MERCOSUR migrants",1,3,2,16,3,5,"MERCOSUR,  Chile and Bolivia",-1,"Chile","CHL",2002,"CL2002001"
2002,"CL","CL2002002","CHL","Chile","family reunification for MERCOSUR migrants",1,3,2,9,6,5,"MERCOSUR,  Chile and Bolivia",-1,"Chile","CHL",2002,"CL2002002"
2002,"CL","CL2002003","CHL","Chile","free movement for Chilean in MERCOSUR region",1,4,4,16,3,4,"Non applicable",-1,"Chile","CHL",2002,"CL2002003"
2002,"ID","ID2002001","IDN","Indonesia","private recruitment companies now allowed to place domestic workers",0,3,4,14,4,4,"Non applicable",-1,"Indonesia","IDN",2002,"ID2002001"
2003,"CA","CA2003001","CAN","Canada","Immigration quota",0,2,2,11,2,2,"Non applicable",-1,"Canada","CAN",2003,"CA2003001"
2003,"CA","CA2003002","CAN","Canada","Funding for integration",0,2,3,17,2,2,"Non applicable",-1,"Canada","CAN",2003,"CA2003002"
2003,"CA","CA2003003","CAN","Canada","Information sharing with US",1,3,1,1,1,1,"Non applicable",1,"Canada","CAN",2003,"CA2003003"
2003,"CA","CA2003004","CAN","Canada","Referral required for refugee application",0,4,2,9,12,2,"Non applicable",1,"Canada","CAN",2003,"CA2003004"
2003,"CA","CA2003005","CAN","Canada","New border agency to foster control of dangerous foreigners",0,3,1,26,14,2,"Non applicable",1,"Canada","CAN",2003,"CA2003005"
2003,"PT","PT2003001","PRT","Portugal","increase of employer sanctions",0,1,1,5,11,2,"Non applicable",1,"Portugal","PRT",2003,"PT2003001"
2003,"PT","PT2003002","PRT","Portugal","additional criteria for family reunification",0,2,2,9,6,2,"Non applicable",1,"Portugal","PRT",2003,"PT2003002"
2003,"PT","PT2003003","PRT","Portugal","slightly quicker access to permanent residency",0,2,3,20,2,2,"Non applicable",-1,"Portugal","PRT",2003,"PT2003003"
2003,"PT","PT2003004","PRT","Portugal","end of 2001 work permit possibility for legal and irregular workers",0,4,2,12,3,2,"Non applicable",1,"Portugal","PRT",2003,"PT2003004"
2003,"PT","PT2003005","PRT","Portugal","regularisation agreement with Brazil",1,3,2,12,11,5,"Brazil",-1,"Portugal","PRT",2003,"PT2003005"
2003,"PT","PT2003006","PRT","Portugal","Agreement with Brazil on border control",1,3,1,1,11,2,"Those transiting through or originating from Brazil",1,"Portugal","PRT",2003,"PT2003006"
2003,"PT","PT2003007","PRT","Portugal","Recruitment agreement with Bulgaria on temporary workers",1,3,2,14,4,5,"Bulgaria",-1,"Portugal","PRT",2003,"PT2003007"
2003,"PT","PT2003008","PRT","Portugal","Readmission agreement with Estonia",1,3,4,23,11,2,"Those transiting through or originating from Spain",1,"Portugal","PRT",2003,"PT2003008"
2003,"SE","SE2003001","SWE","Sweden","report and debate about free movement of new EU MS after 2004",999,999,2,27,3,3,"Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Slovakia and Slovenia",999,"Sweden","SWE",2003,"SE2003001"
2003,"SE","SE2003002","SWE","Sweden","support to central and eastern european countries to develop modern migration policy",999,999,999,28,999,999,"Non applicable",999,"Sweden","SWE",2003,"SE2003002"
2003,"SE","SE2003003","SWE","Sweden","strenghtening of anti-discrimination law",0,2,3,19,1,1,"Non applicable",-1,"Sweden","SWE",2003,"SE2003003"
2003,"GB","GB2003001","GBR","United Kingdom","students have no need to show intention to leave anymore",0,2,2,9,9,2,"Non applicable",-1,"United Kingdom","GBR",2003,"GB2003001"
2003,"GB","GB2003002","GBR","United Kingdom","new sectors-based work permit scheme for low-skilled",0,3,2,8,4,2,"Non applicable",-1,"United Kingdom","GBR",2003,"GB2003002"
2003,"GB","GB2003003","GBR","United Kingdom","Humanitarian protection status created",0,2,2,9,12,2,"Non applicable",9,"United Kingdom","GBR",2003,"GB2003003"
2003,"GB","GB2003004","GBR","United Kingdom","no right to work for asylum seekers that did not get decision within six months",0,4,3,8,12,2,"Non applicable",1,"United Kingdom","GBR",2003,"GB2003004"
2003,"GB","GB2003005","GBR","United Kingdom","return programme for irregular migrants",0,4,4,22,11,2,"Non applicable",-1,"United Kingdom","GBR",2003,"GB2003005"
2003,"TR","TR2003001","TUR","Turkey","Readmission agreement with Syria",1,3,4,23,11,2,"Those transiting through or originating from Syria",1,"Turkey","TUR",2003,"TR2003001"
2003,"TR","TR2003002","TUR","Turkey","certain professions now also open to foreigners",0,4,2,8,3,2,"Non applicable",-1,"Turkey","TUR",2003,"TR2003002"
2003,"TR","TR2003003","TUR","Turkey","work permit possible if residence permit over 6 months",0,4,3,8,2,2,"Non applicable",-1,"Turkey","TUR",2003,"TR2003003"
2003,"TR","TR2003004","TUR","Turkey","introduction of employer sanctions",0,3,1,5,11,2,"Non applicable",1,"Turkey","TUR",2003,"TR2003004"
2003,"TR","TR2003005","TUR","Turkey","ministry of labour now responsible to issue work permits",0,2,2,26,3,2,"Non applicable",-1,"Turkey","TUR",2003,"TR2003005"
2003,"TR","TR2003006","TUR","Turkey","Border protection action plan",999,999,1,27,1,2,"Non applicable",999,"Turkey","TUR",2003,"TR2003006"
2003,"TR","TR2003007","TUR","Turkey","more equal but stricter naturalisation law for spouses",0,3,3,21,6,2,"Non applicable",9,"Turkey","TUR",2003,"TR2003007"
2003,"AT","AT2003001","AUT","Austria","differentiated treatment of asylum seekers taken back",0,3,3,18,12,5,"Those on the safe third countries list",-1,"Austria","AUT",2003,"AT2003001"
2003,"AU","AU2003001","AUS","Australia","migration programme growing",0,2,2,11,2,2,"Non applicable",-1,"Australia","AUS",2003,"AU2003001"
